epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1146.39,0.92329,3.00966,1.28735,0.91336,0.2083,0.40908,0.30405,0.84519,3.03815,1.27741,0.000366077,0.000366077,0.000366077
2,1180.56,0.93083,2.03879,1.26323,0.75403,0.41435,0.39178,0.27489,0.93664,2.09668,1.43682,0.000699958,0.000699958,0.000699958
3,1213.38,0.99292,1.77612,1.30327,0.78767,0.4246,0.47193,0.32496,1.04238,1.54712,1.45384,0.000997176,0.000997176,0.000997176
4,1246.29,0.93474,1.56096,1.25417,0.66322,0.46067,0.50399,0.36421,0.96646,1.42451,1.40589,0.000946016,0.000946016,0.000946016
5,1279.25,0.915,1.34294,1.23847,0.70087,0.47962,0.50837,0.37316,0.87483,1.24196,1.27917,0.000891022,0.000891022,0.000891022
6,1311.24,0.88009,1.23785,1.24456,0.77477,0.5719,0.6006,0.44416,0.84114,1.25367,1.282,0.000836027,0.000836027,0.000836027
7,1343.39,0.87444,1.10753,1.24074,0.8067,0.51715,0.57361,0.42084,0.82332,1.20395,1.26596,0.000781033,0.000781033,0.000781033
8,1377.02,0.82822,1.02064,1.19967,0.80196,0.60331,0.62151,0.44681,0.87243,1.0316,1.35102,0.000726038,0.000726038,0.000726038
9,1409.4,0.83285,0.99678,1.21119,0.80042,0.59531,0.6139,0.47718,0.77291,0.94043,1.23587,0.000671044,0.000671044,0.000671044
10,1442.36,0.79498,0.9389,1.17959,0.80347,0.63378,0.63042,0.4868,0.75997,0.89263,1.20676,0.000616049,0.000616049,0.000616049
11,1477.29,0.72153,0.91567,1.14856,0.84548,0.60005,0.64179,0.49229,0.83946,0.89893,1.26113,0.000561055,0.000561055,0.000561055
12,1508.32,0.70598,0.86144,1.14097,0.80883,0.58188,0.60602,0.47318,0.77378,0.93348,1.22177,0.00050606,0.00050606,0.00050606
13,1539.49,0.63574,0.80522,1.10214,0.76028,0.6136,0.60608,0.47995,0.74897,0.8493,1.20634,0.000451066,0.000451066,0.000451066
14,1571.24,0.64769,0.75476,1.101,0.85708,0.60571,0.65289,0.5089,0.73129,0.80859,1.19774,0.000396071,0.000396071,0.000396071
15,1603.97,0.61638,0.71394,1.07589,0.83863,0.62261,0.65827,0.51601,0.73744,0.81461,1.19091,0.000341077,0.000341077,0.000341077
16,1634.69,0.60135,0.66422,1.07057,0.86501,0.62086,0.65976,0.53201,0.68914,0.75579,1.16315,0.000286083,0.000286083,0.000286083
17,1665.73,0.55974,0.61787,1.03366,0.89239,0.61231,0.65433,0.52458,0.68023,0.75838,1.16401,0.000231088,0.000231088,0.000231088
18,1697.17,0.5491,0.6008,1.01903,0.87391,0.61406,0.66161,0.5292,0.65907,0.74942,1.15179,0.000176094,0.000176094,0.000176094
19,1730.39,0.56498,0.61279,1.06764,0.84394,0.63802,0.66012,0.53344,0.65219,0.73454,1.14877,0.000121099,0.000121099,0.000121099
20,1763.17,0.52101,0.54577,1.02557,0.89077,0.60943,0.66378,0.54027,0.64871,0.7169,1.14007,6.61045e-05,6.61045e-05,6.61045e-05
